"deal_id","url","indexable","title_tag","primary_query","secondary_queries","value_score","merchant_path","comparison_path","collection_paths"
"ebay-item-257146795807-557791023649","https://dealdesk.fyi/deals/ebay-item-257146795807-557791023649/","false","Samsung Galaxy S25 256GB S931U Unlocked -… deal: $539.99 | DealDesk","Samsung Galaxy S25 256GB S931U Unlocked - Excellent deal","Samsung Galaxy S25 256GB S931U Unlocked - Excellent price | Samsung Galaxy S25 256GB S931U Unlocked - Excellent discount | eBay Samsung Galaxy S25 256GB S931U Unlocked - Excellent","92","/merchant/ebay/","/compare/samsung-galaxy-s25/","/collections/refurbished-electronics/ | /collections/unlocked-smartphones/ | /collections/samsung-galaxy/"
"ebay-item-177631913068","https://dealdesk.fyi/deals/ebay-item-177631913068/","false","Hot Wheels 50 Car Pack deal: $40.99 | DealDesk","Hot Wheels 50 Car Pack deal","Hot Wheels 50 Car Pack price | Hot Wheels 50 Car Pack discount | eBay Hot Wheels 50 Car Pack","76","/merchant/ebay/","",""
"ebay-item-336121111923","https://dealdesk.fyi/deals/ebay-item-336121111923/","false","Makita XRW01Z-R 18V LXT 3/8"" / 1/4"" Square… deal: $119.00 | DealDesk","Makita XRW01Z-R 18V LXT 3/8"" / 1/4"" Square Drive Ratchet Certified Refurbished deal","Makita XRW01Z-R 18V LXT 3/8"" / 1/4"" Square Drive Ratchet Certified Refurbished price | Makita XRW01Z-R 18V LXT 3/8"" / 1/4"" Square Drive Ratchet Certified Refurbished discount | eBay Makita XRW01Z-R 18V LXT 3/8"" / 1/4"" Square Drive Ratchet Certified Refurbished","82","/merchant/ebay/","","/collections/makita-tools/"
"ebay-item-187429968920","https://dealdesk.fyi/deals/ebay-item-187429968920/","false","Yamaha R-S202 2ch. Natural Sound 200W… deal: $159.00 | DealDesk","Yamaha R-S202 2ch. Natural Sound 200W Bluetooth Stereo Receiver deal","Yamaha R-S202 2ch. Natural Sound 200W Bluetooth Stereo Receiver price | Yamaha R-S202 2ch. Natural Sound 200W Bluetooth Stereo Receiver discount | eBay Yamaha R-S202 2ch. Natural Sound 200W Bluetooth Stereo Receiver","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-197870585334","https://dealdesk.fyi/deals/ebay-item-197870585334/","false","GoPro HERO13 Waterproof Action Camera 64GB… deal: $534.95 | DealDesk","GoPro HERO13 Waterproof Action Camera 64GB Card 50 Piece Kit deal","GoPro HERO13 Waterproof Action Camera 64GB Card 50 Piece Kit price | GoPro HERO13 Waterproof Action Camera 64GB Card 50 Piece Kit discount | eBay GoPro HERO13 Waterproof Action Camera 64GB Card 50 Piece Kit","80","/merchant/ebay/","",""
"ebay-item-326890010394","https://dealdesk.fyi/deals/ebay-item-326890010394/","false","DJI Osmo Pocket 3 4K Gimbal Camera w/… deal: $584.95 | DealDesk","DJI Osmo Pocket 3 4K Gimbal Camera w/ ActiveTrack deal","DJI Osmo Pocket 3 4K Gimbal Camera w/ ActiveTrack price | DJI Osmo Pocket 3 4K Gimbal Camera w/ ActiveTrack discount | eBay DJI Osmo Pocket 3 4K Gimbal Camera w/ ActiveTrack","80","/merchant/ebay/","","/collections/dji-drones/"
"ebay-item-326869597790","https://dealdesk.fyi/deals/ebay-item-326869597790/","false","DJI Mini 3 w/ RC Remote (Fly More Combo)… deal: $804.95 | DealDesk","DJI Mini 3 w/ RC Remote (Fly More Combo) (CP.MA.00000613.01) + 64GB Card + More deal","DJI Mini 3 w/ RC Remote (Fly More Combo) (CP.MA.00000613.01) + 64GB Card + More price | DJI Mini 3 w/ RC Remote (Fly More Combo) (CP.MA.00000613.01) + 64GB Card + More discount | eBay DJI Mini 3 w/ RC Remote (Fly More Combo) (CP.MA.00000613.01) + 64GB Card + More","80","/merchant/ebay/","","/collections/dji-drones/"
"ebay-item-197493655809","https://dealdesk.fyi/deals/ebay-item-197493655809/","false","Kodak PIXPRO FZ45 Digital Camera, Red Bundle deal: $174.95 | DealDesk","Kodak PIXPRO FZ45 Digital Camera, Red Bundle deal","Kodak PIXPRO FZ45 Digital Camera, Red Bundle price | Kodak PIXPRO FZ45 Digital Camera, Red Bundle discount | eBay Kodak PIXPRO FZ45 Digital Camera, Red Bundle","80","/merchant/ebay/","",""
"ebay-item-205855175721","https://dealdesk.fyi/deals/ebay-item-205855175721/","false","GoPro MAX 360 (2025) Waterproof… deal: $381.95 | DealDesk","GoPro MAX 360 (2025) Waterproof Action/Adventure Camera - Get Rolling Bundle deal","GoPro MAX 360 (2025) Waterproof Action/Adventure Camera - Get Rolling Bundle price | GoPro MAX 360 (2025) Waterproof Action/Adventure Camera - Get Rolling Bundle discount | eBay GoPro MAX 360 (2025) Waterproof Action/Adventure Camera - Get Rolling Bundle","80","/merchant/ebay/","",""
"ebay-item-197870584522","https://dealdesk.fyi/deals/ebay-item-197870584522/","false","DJI Osmo Action 4 Adventure Action Camera… deal: $433.95 | DealDesk","DJI Osmo Action 4 Adventure Action Camera 50 In 1 Kit Bundle deal","DJI Osmo Action 4 Adventure Action Camera 50 In 1 Kit Bundle price | DJI Osmo Action 4 Adventure Action Camera 50 In 1 Kit Bundle discount | eBay DJI Osmo Action 4 Adventure Action Camera 50 In 1 Kit Bundle","80","/merchant/ebay/","","/collections/dji-drones/"
"ebay-item-385436454840","https://dealdesk.fyi/deals/ebay-item-385436454840/","false","eufy E220 Indoor Security Camera 3MP Wi-Fi… deal: $34.99 | DealDesk","eufy E220 Indoor Security Camera 3MP Wi-Fi Baby Pet Monitor Night Vision|Refurb deal","eufy E220 Indoor Security Camera 3MP Wi-Fi Baby Pet Monitor Night Vision|Refurb price | eufy E220 Indoor Security Camera 3MP Wi-Fi Baby Pet Monitor Night Vision|Refurb discount | eBay eufy E220 Indoor Security Camera 3MP Wi-Fi Baby Pet Monitor Night Vision|Refurb","82","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/security-cameras/ | /collections/computer-monitors/"
"ebay-item-326869597458","https://dealdesk.fyi/deals/ebay-item-326869597458/","false","Canon RF 24-105mm f/4-7.1 IS STM Lens… deal: $459.00 | DealDesk","Canon RF 24-105mm f/4-7.1 IS STM Lens (4111C002) + Filter Kit + Cap Keeper - deal","Canon RF 24-105mm f/4-7.1 IS STM Lens (4111C002) + Filter Kit + Cap Keeper - price | Canon RF 24-105mm f/4-7.1 IS STM Lens (4111C002) + Filter Kit + Cap Keeper - discount | eBay Canon RF 24-105mm f/4-7.1 IS STM Lens (4111C002) + Filter Kit + Cap Keeper -","76","/merchant/ebay/","",""
"ebay-item-198231279099","https://dealdesk.fyi/deals/ebay-item-198231279099/","false","Nikon D7500 20.9MP DX-Format Ultra HD DSLR… deal: $694.95 | DealDesk","Nikon D7500 20.9MP DX-Format Ultra HD DSLR Digital Camera (Body Only) - (Black) deal","Nikon D7500 20.9MP DX-Format Ultra HD DSLR Digital Camera (Body Only) - (Black) price | Nikon D7500 20.9MP DX-Format Ultra HD DSLR Digital Camera (Body Only) - (Black) discount | eBay Nikon D7500 20.9MP DX-Format Ultra HD DSLR Digital Camera (Body Only) - (Black)","76","/merchant/ebay/","",""
"ebay-item-277300375424-2560835445294","https://dealdesk.fyi/deals/ebay-item-277300375424-2560835445294/","false","Dyson Supersonic Nural™ hair dryer |… deal: $289.99 | DealDesk","Dyson Supersonic Nural™ hair dryer | Refurbished deal","Dyson Supersonic Nural™ hair dryer | Refurbished price | Dyson Supersonic Nural™ hair dryer | Refurbished discount | eBay Dyson Supersonic Nural™ hair dryer | Refurbished","82","/merchant/ebay/","",""
"ebay-item-384803790556","https://dealdesk.fyi/deals/ebay-item-384803790556/","false","Atlas HO Scale Code 100 36"" Super-Flex Bulk… deal: $52.99 | DealDesk","Atlas HO Scale Code 100 36"" Super-Flex Bulk Model Train Track (10 Pieces) deal","Atlas HO Scale Code 100 36"" Super-Flex Bulk Model Train Track (10 Pieces) price | Atlas HO Scale Code 100 36"" Super-Flex Bulk Model Train Track (10 Pieces) discount | eBay Atlas HO Scale Code 100 36"" Super-Flex Bulk Model Train Track (10 Pieces)","73","/merchant/ebay/","",""
"ebay-item-800260881138","https://dealdesk.fyi/deals/ebay-item-800260881138/","false","Reolink Duo 3 PoE 16MP Dual-Lens Security… deal: $136.49 | DealDesk","Reolink Duo 3 PoE 16MP Dual-Lens Security Camera 180° Panoramic Smart Detection deal","Reolink Duo 3 PoE 16MP Dual-Lens Security Camera 180° Panoramic Smart Detection price | Reolink Duo 3 PoE 16MP Dual-Lens Security Camera 180° Panoramic Smart Detection discount | eBay Reolink Duo 3 PoE 16MP Dual-Lens Security Camera 180° Panoramic Smart Detection","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/security-cameras/"
"ebay-item-800182414000","https://dealdesk.fyi/deals/ebay-item-800182414000/","false","Reolink Go PT Ultra 4K 4G LTE PT Outdoor… deal: $136.49 | DealDesk","Reolink Go PT Ultra 4K 4G LTE PT Outdoor Battery Powered Camera with Solar Panel deal","Reolink Go PT Ultra 4K 4G LTE PT Outdoor Battery Powered Camera with Solar Panel price | Reolink Go PT Ultra 4K 4G LTE PT Outdoor Battery Powered Camera with Solar Panel discount | eBay Reolink Go PT Ultra 4K 4G LTE PT Outdoor Battery Powered Camera with Solar Panel","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-407107919946","https://dealdesk.fyi/deals/ebay-item-407107919946/","false","Reolink RLN16-410 16CH PoE NVR 4TB HDD 16MP… deal: $298.99 | DealDesk","Reolink RLN16-410 16CH PoE NVR 4TB HDD 16MP 24/7 Recording Remote View Recorder deal","Reolink RLN16-410 16CH PoE NVR 4TB HDD 16MP 24/7 Recording Remote View Recorder price | Reolink RLN16-410 16CH PoE NVR 4TB HDD 16MP 24/7 Recording Remote View Recorder discount | eBay Reolink RLN16-410 16CH PoE NVR 4TB HDD 16MP 24/7 Recording Remote View Recorder","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-407069293251","https://dealdesk.fyi/deals/ebay-item-407069293251/","false","Reolink RLC-810A 4k Outdoor PoE Security… deal: $64.99 | DealDesk","Reolink RLC-810A 4k Outdoor PoE Security Camera Smart Detection Night Vision deal","Reolink RLC-810A 4k Outdoor PoE Security Camera Smart Detection Night Vision price | Reolink RLC-810A 4k Outdoor PoE Security Camera Smart Detection Night Vision discount | eBay Reolink RLC-810A 4k Outdoor PoE Security Camera Smart Detection Night Vision","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/security-cameras/"
"ebay-item-407076789103","https://dealdesk.fyi/deals/ebay-item-407076789103/","false","Reolink RLN8-410 8CH NVR Security Camera… deal: $227.49 | DealDesk","Reolink RLN8-410 8CH NVR Security Camera Recorder CCTV Surveillance 2TB HDD deal","Reolink RLN8-410 8CH NVR Security Camera Recorder CCTV Surveillance 2TB HDD price | Reolink RLN8-410 8CH NVR Security Camera Recorder CCTV Surveillance 2TB HDD discount | eBay Reolink RLN8-410 8CH NVR Security Camera Recorder CCTV Surveillance 2TB HDD","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/security-cameras/"
"ebay-item-167031735841","https://dealdesk.fyi/deals/ebay-item-167031735841/","false","Bose Solo Soundbar 2 Home Theater,… deal: $129.00 | DealDesk","Bose Solo Soundbar 2 Home Theater, Certified Refurbished deal","Bose Solo Soundbar 2 Home Theater, Certified Refurbished price | Bose Solo Soundbar 2 Home Theater, Certified Refurbished discount | eBay Bose Solo Soundbar 2 Home Theater, Certified Refurbished","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/soundbars/"
"ebay-item-205855175709","https://dealdesk.fyi/deals/ebay-item-205855175709/","false","GoPro HERO13 - Action Camera + 64GB Card,… deal: $559.95 | DealDesk","GoPro HERO13 - Action Camera + 64GB Card, 50 Piece Accessory Kit and 2 Batteries deal","GoPro HERO13 - Action Camera + 64GB Card, 50 Piece Accessory Kit and 2 Batteries price | GoPro HERO13 - Action Camera + 64GB Card, 50 Piece Accessory Kit and 2 Batteries discount | eBay GoPro HERO13 - Action Camera + 64GB Card, 50 Piece Accessory Kit and 2 Batteries","80","/merchant/ebay/","",""
"ebay-item-407101159635","https://dealdesk.fyi/deals/ebay-item-407101159635/","false","Reolink 5MP PoE Cam with Smart AI Detection,… deal: $45.49 | DealDesk","Reolink 5MP PoE Cam with Smart AI Detection, 100ft Night Vision, Audio, RLC-510A deal","Reolink 5MP PoE Cam with Smart AI Detection, 100ft Night Vision, Audio, RLC-510A price | Reolink 5MP PoE Cam with Smart AI Detection, 100ft Night Vision, Audio, RLC-510A discount | eBay Reolink 5MP PoE Cam with Smart AI Detection, 100ft Night Vision, Audio, RLC-510A","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-267431903254","https://dealdesk.fyi/deals/ebay-item-267431903254/","false","DJI Osmo 360 Action Camera Adventure Combo deal: $454.99 | DealDesk","DJI Osmo 360 Action Camera Adventure Combo deal","DJI Osmo 360 Action Camera Adventure Combo price | DJI Osmo 360 Action Camera Adventure Combo discount | eBay DJI Osmo 360 Action Camera Adventure Combo","80","/merchant/ebay/","","/collections/dji-drones/"
"ebay-item-256499109365","https://dealdesk.fyi/deals/ebay-item-256499109365/","false","Acer 315-15.6in Chromebook Intel N100… deal: $215.00 | DealDesk","Acer 315-15.6in Chromebook Intel N100 3.4GHz 4GB 128GB SSD Refurbished deal","Acer 315-15.6in Chromebook Intel N100 3.4GHz 4GB 128GB SSD Refurbished price | Acer 315-15.6in Chromebook Intel N100 3.4GHz 4GB 128GB SSD Refurbished discount | eBay Acer 315-15.6in Chromebook Intel N100 3.4GHz 4GB 128GB SSD Refurbished","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-188765717296","https://dealdesk.fyi/deals/ebay-item-188765717296/","false","VTech 2-in-1 Learn & Zoom Motorbike deal: $30.99 | DealDesk","VTech 2-in-1 Learn & Zoom Motorbike deal","VTech 2-in-1 Learn & Zoom Motorbike price | VTech 2-in-1 Learn & Zoom Motorbike discount | eBay VTech 2-in-1 Learn & Zoom Motorbike","76","/merchant/ebay/","",""
"ebay-item-377264826601","https://dealdesk.fyi/deals/ebay-item-377264826601/","false","Beyerdynamic DT990 Pro Acoustically Open… deal: $136.99 | DealDesk","Beyerdynamic DT990 Pro Acoustically Open Headphones 250 Ohms deal","Beyerdynamic DT990 Pro Acoustically Open Headphones 250 Ohms price | Beyerdynamic DT990 Pro Acoustically Open Headphones 250 Ohms discount | eBay Beyerdynamic DT990 Pro Acoustically Open Headphones 250 Ohms","86","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-389795476014","https://dealdesk.fyi/deals/ebay-item-389795476014/","false","eufy SoloCam S340 Solar Wireless Outdoor… deal: $529.99 | DealDesk","eufy SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan & Tilt Wi-Fi deal","eufy SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan & Tilt Wi-Fi price | eufy SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan & Tilt Wi-Fi discount | eBay eufy SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan & Tilt Wi-Fi","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/security-cameras/"
"ebay-item-157800026347","https://dealdesk.fyi/deals/ebay-item-157800026347/","false","Onkyo TX-RZ70 11.2 Channel THX Certified… deal: $1519.00 | DealDesk","Onkyo TX-RZ70 11.2 Channel THX Certified Network AV Receiver deal","Onkyo TX-RZ70 11.2 Channel THX Certified Network AV Receiver price | Onkyo TX-RZ70 11.2 Channel THX Certified Network AV Receiver discount | eBay Onkyo TX-RZ70 11.2 Channel THX Certified Network AV Receiver","82","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-315011828014","https://dealdesk.fyi/deals/ebay-item-315011828014/","false","Datacolor KIT: Spyder X Pro SXP100 Monitor… deal: $105.59 | DealDesk","Datacolor KIT: Spyder X Pro SXP100 Monitor Display Colorimeter+Spyder USBC cable deal","Datacolor KIT: Spyder X Pro SXP100 Monitor Display Colorimeter+Spyder USBC cable price | Datacolor KIT: Spyder X Pro SXP100 Monitor Display Colorimeter+Spyder USBC cable discount | eBay Datacolor KIT: Spyder X Pro SXP100 Monitor Display Colorimeter+Spyder USBC cable","82","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/computer-monitors/"
"ebay-item-398251570068","https://dealdesk.fyi/deals/ebay-item-398251570068/","false","Teenage Mutant Ninja Turtles x G.I. Joe -… deal: $19.16 | DealDesk","Teenage Mutant Ninja Turtles x G.I. Joe - Ripper x Bebop Action Figure (TMNT) [N deal","Teenage Mutant Ninja Turtles x G.I. Joe - Ripper x Bebop Action Figure (TMNT) [N price | Teenage Mutant Ninja Turtles x G.I. Joe - Ripper x Bebop Action Figure (TMNT) [N discount | eBay Teenage Mutant Ninja Turtles x G.I. Joe - Ripper x Bebop Action Figure (TMNT) [N","76","/merchant/ebay/","",""
"ebay-item-188725331503","https://dealdesk.fyi/deals/ebay-item-188725331503/","false","Our Generation Mindy & Pepper 18'' Doll &… deal: $22.99 | DealDesk","Our Generation Mindy & Pepper 18'' Doll & Pet Kitten Set deal","Our Generation Mindy & Pepper 18'' Doll & Pet Kitten Set price | Our Generation Mindy & Pepper 18'' Doll & Pet Kitten Set discount | eBay Our Generation Mindy & Pepper 18'' Doll & Pet Kitten Set","76","/merchant/ebay/","",""
"ebay-item-389238481744","https://dealdesk.fyi/deals/ebay-item-389238481744/","false","Apple AirPods Pro 3rd Wireless Active Noise… deal: $164.99 | DealDesk","Apple AirPods Pro 3rd Wireless Active Noise Cancelling Earbuds - White MFHP4LL/A deal","Apple AirPods Pro 3rd Wireless Active Noise Cancelling Earbuds - White MFHP4LL/A price | Apple AirPods Pro 3rd Wireless Active Noise Cancelling Earbuds - White MFHP4LL/A discount | eBay Apple AirPods Pro 3rd Wireless Active Noise Cancelling Earbuds - White MFHP4LL/A","82","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-187216822374","https://dealdesk.fyi/deals/ebay-item-187216822374/","false","Kanto YU6 2-Way Powered Bookshelf Speakers… deal: $380.00 | DealDesk","Kanto YU6 2-Way Powered Bookshelf Speakers with Bluetooth - Matte Black - Pair deal","Kanto YU6 2-Way Powered Bookshelf Speakers with Bluetooth - Matte Black - Pair price | Kanto YU6 2-Way Powered Bookshelf Speakers with Bluetooth - Matte Black - Pair discount | eBay Kanto YU6 2-Way Powered Bookshelf Speakers with Bluetooth - Matte Black - Pair","82","/merchant/ebay/","","/collections/refurbished-electronics/"
"ebay-item-178159349301","https://dealdesk.fyi/deals/ebay-item-178159349301/","false","Our Generation Kinsley & Kenzi 18"" Doll &… deal: $22.99 | DealDesk","Our Generation Kinsley & Kenzi 18"" Doll & Pet Puppy Set deal","Our Generation Kinsley & Kenzi 18"" Doll & Pet Puppy Set price | Our Generation Kinsley & Kenzi 18"" Doll & Pet Puppy Set discount | eBay Our Generation Kinsley & Kenzi 18"" Doll & Pet Puppy Set","76","/merchant/ebay/","",""
"ebay-item-314646736192","https://dealdesk.fyi/deals/ebay-item-314646736192/","false","Datacolor Spyder X Pro SXP100 Monitor… deal: $99.99 | DealDesk","Datacolor Spyder X Pro SXP100 Monitor Display Color Calibration Colorimeter deal","Datacolor Spyder X Pro SXP100 Monitor Display Color Calibration Colorimeter price | Datacolor Spyder X Pro SXP100 Monitor Display Color Calibration Colorimeter discount | eBay Datacolor Spyder X Pro SXP100 Monitor Display Color Calibration Colorimeter","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/computer-monitors/"
